City,Total_Dependency_Ratio,Child_Dependency_Ratio,Elderly_Dependency_Ratio
Adana,48.323861237586144,32.6211832866765,15.702677950909646
Adıyaman,54.51898908299674,40.29061988070079,14.228369202295946
Afyonkarahisar,48.27945982513545,28.653251048773125,19.62620877636232
Ağrı,57.37972109703966,47.76189180102147,9.617829296018188
Amasya,49.858348257486526,24.1158260245121,25.742522232974423
Ankara,40.46532144140513,25.054566990963174,15.410754450441955
Antalya,41.36250007633852,26.438166816968728,14.92433325936979
Artvin,51.366564569611214,22.2300526748525,29.136511894758716
Aydın,50.353207990569146,25.85839098270968,24.49481700785947
Balıkesir,50.128621534786255,22.854778631878272,27.27384290290798
Bilecik,45.05840470278214,25.330664369330563,19.727740333451578
Bingöl,48.41204334088627,35.388222676683505,13.023820664202763
Bitlis,54.461924822470124,44.69595998988605,9.765964832584071
Bolu,45.706167638269726,22.81968264430421,22.88648499396552
Burdur,48.45401677180281,22.584635486392994,25.869381285409816
Bursa,44.49981444922418,28.072636707523262,16.42717774170092
Çanakkale,48.132777941229605,21.828303318416204,26.3044746228134
Çankırı,52.04855266948702,24.41128751004564,27.637265159441387
Çorum,52.53391420242545,25.27808031376325,27.25583388866219
Denizli,45.39919254266834,25.79080660766509,19.60838593500325
Diyarbakır,54.8094963891691,46.053158317447235,8.756338071721856
Edirne,46.943134226600435,20.47557429283021,26.46755993377023
Elazığ,46.398400846951674,28.80409166608253,17.594309180869143
Erzincan,47.022732153265636,25.726907384115105,21.295824769150535
Erzurum,49.080282106166116,33.56767998834673,15.512602117819382
Eskişehir,42.511422187070465,22.956637922428953,19.554784264641516
Gaziantep,53.95728656270371,44.11084794395948,9.846438618744228
Giresun,52.96039474170703,22.43547297410852,30.524921767598507
Gümüşhane,46.95102585275996,23.20713968112812,23.743886171631836
Hakkari,43.89029227611115,37.17581326432441,6.714479011786738
Hatay,51.136060978250256,36.815541942666194,14.32051903558406
Isparta,47.64639374537883,24.45747858926197,23.188915156116856
Mersin,47.287779971888945,30.36204841816965,16.925731553719295
İstanbul,37.78674682072189,25.76525656857229,12.021490252149599
İzmir,43.527156077140766,23.580313752007115,19.94684232513365
Kars,49.50339867610033,34.44751365862063,15.055885017479701
