City,Marital_Total_Pop,Never_Married,Married,Divorced,Widowed,Pct_Married,Pct_Divorced,Pct_Never_Married,Pct_Widowed,Ever_Married_Pop,Pct_Divorced_Ever_Married
Adana,1781370,522395,1050235,107848,100892,0.5895658959115737,0.06054216698383828,0.293254629863532,0.05663730724105604,1258975,0.08566333723862667
Adıyaman,456725,140313,283294,11100,22018,0.6202725929169631,0.024303464885872244,0.3072155016694948,0.04820844052766982,316412,0.0350808439629344
Afyonkarahisar,606530,149098,388201,26420,42811,0.6400359421627949,0.04355926335053501,0.2458213113943251,0.07058348309234498,457432,0.05775721855926127
Ağrı,342331,123796,199146,5009,14380,0.5817352211748279,0.014632037414081693,0.3616266128396201,0.042006128571470305,218535,0.02292081359965223
Amasya,287167,70056,181860,12039,23212,0.6332900368078505,0.04192334077383544,0.24395560771258537,0.08083101470572872,217111,0.05545089838838198
Ankara,4856106,1405166,2892274,310558,248108,0.59559531855359,0.06395206364935196,0.2893606523416087,0.051091965455449286,3450940,0.08999229195523538
Antalya,2258185,636667,1344337,172812,104369,0.5953174784174016,0.07652694531227512,0.28193748519275436,0.04621809107756893,1621518,0.10657421009202488
Artvin,142927,37786,87751,4914,12476,0.613956775136958,0.03438118759926396,0.2643727217390696,0.08728931552470842,105141,0.046737238565355096
Aydın,970523,233536,596357,68517,72113,0.6144697240559986,0.0705980177698004,0.24062902167182024,0.07430323650238067,736987,0.09296907543823704
Balıkesir,1088969,239181,687386,70359,92043,0.6312264169136128,0.06461065466510066,0.2196398611898043,0.08452306723148226,849788,0.08279594440025041
Bilecik,189007,48537,118386,8778,13306,0.6263577539456211,0.04644272434354283,0.2568000126979424,0.0703995090128937,140470,0.0624902114330462
Bingöl,214986,73954,127049,3749,10234,0.5909640627761807,0.017438344822453555,0.3439944926646386,0.04760309973672704,141032,0.026582619547336775
Bitlis,256129,91827,150979,3082,10241,0.589464683811673,0.01203299899659937,0.35851855900737517,0.039983758184352416,164302,0.01875814049737678
Bolu,275933,74355,169498,12954,19126,0.6142723052335168,0.04694617896373395,0.2694675881463979,0.06931392765635136,201578,0.06426296520453621
Burdur,235051,60805,144693,11303,18250,0.6155812993775819,0.048087436343602026,0.2586885399338867,0.0776427243449294,174246,0.06486806009894058
Bursa,2629091,674302,1659108,137767,157914,0.6310576545277436,0.052401000954322235,0.2564772387110222,0.06006410580691197,1954789,0.07047666014081315
Çanakkale,489397,116038,304067,29421,39871,0.6213094890242482,0.06011683765940535,0.23710402801815295,0.08146964529819349,373359,0.07880083244276956
Çankırı,168351,40187,108391,6195,13578,0.6438393594335644,0.036798118217296005,0.23870960077457218,0.08065292157456742,128164,0.04833650635123748
Çorum,433483,97513,280606,19708,35656,0.647328730307763,0.04546429733115255,0.22495230493468024,0.08225466742640426,335970,0.05865999940470876
Denizli,872780,211088,547857,55425,58410,0.6277148880588465,0.063503975801462,0.2418570544696258,0.06692408167006576,661692,0.08376253604396003
Diyarbakır,1301312,478793,748487,26490,47542,0.5751787426843064,0.02035637879309497,0.3679309804259086,0.03653389809669011,822519,0.0322059429630197
Edirne,363574,92210,219906,20270,31188,0.6048452309571092,0.05575206147854357,0.2536209960008141,0.08578171156353315,271364,0.07469671732433189
Elazığ,486510,148974,290091,18099,29346,0.5962693469815625,0.037201701917740644,0.30620953320589506,0.060319417894801754,337536,0.05362094709897611
Erzincan,197694,59412,116313,8488,13481,0.5883486600503809,0.042935041022995134,0.30052505387113415,0.06819124505548979,138282,0.06138181397434229
Erzurum,570958,187869,335344,13178,34567,0.5873356709250067,0.023080506797347616,0.32904171585300496,0.06054210642464069,383089,0.03439931712996197
Eskişehir,778475,214897,458547,51658,53373,0.5890324030957963,0.06635794341501011,0.27604868492886736,0.06856096856032629,563578,0.0916607816486804
Gaziantep,1585663,477440,983509,58993,65721,0.6202509612698285,0.03720399605716978,0.30109802650374007,0.04144701616926169,1108223,0.053232066109438265
Giresun,388326,95423,240242,18234,34427,0.6186606098999294,0.046955393149055176,0.24572910389724098,0.0886548930537744,292903,0.06225269116396896
Gümüşhane,116886,37256,68312,3285,8033,0.5844326951046319,0.028104306760433243,0.31873791557586023,0.06872508255907465,79630,0.04125329649629537
Hakkari,207422,92060,107668,1687,6007,0.5190770506503649,0.008133177772849554,0.4438294877110432,0.028960283865742304,115362,0.014623532879110973
Hatay,1193257,347147,731920,50396,63794,0.6133800178838256,0.04223398647567121,0.2909239166415952,0.05346207899890803,846110,0.0595619954852206
Isparta,371539,98226,229922,17312,26079,0.6188367842945155,0.04659537760504281,0.26437601436188396,0.07019182373855773,273313,0.06334129734041191
Mersin,1553128,437924,928318,100005,86881,0.5977086241443075,0.06438941284942387,0.28196259419700115,0.05593936880926749,1115204,0.08967417620453298
İstanbul,12808144,4147557,7325551,763959,571077,0.5719447720138062,0.05964634688679328,0.3238218589672321,0.044587022132168405,8660587,0.088210995397887
İzmir,3764185,998383,2210055,315019,240728,0.5871270939127593,0.08368850096368802,0.26523218173389457,0.06395222338965806,2765802,0.11389788567655963
Kars,207012,69170,121811,4521,11510,0.588424825613974,0.02183931366297606,0.3341352192143451,0.05560064150870481,137842,0.03279842138100143
Kastamonu,325286,74479,206786,13518,30503,0.6357051948131798,0.04155727575118511,0.22896466494100576,0.09377286449462933,250807,0.053898017200476864
Kayseri,1156891,312508,723039,55614,65730,0.624984549106182,0.048071944547930616,0.27012743637905384,0.05681606996683352,844383,0.06586347664507694
Kırklareli,324277,79626,199755,18619,26277,0.6160011348322576,0.05741696142495459,0.24554932973969784,0.08103257400308995,244651,0.07610432820630204
Kırşehir,201396,53113,123663,10049,14571,0.6140290770422451,0.04989672088820036,0.26372420504875965,0.07234999702079485,148283,0.06776906321021291
Kocaeli,1708954,469185,1070298,85298,84173,0.6262883611846779,0.0499124025573538,0.2745451311152904,0.04925410514267792,1239769,0.06880152673602905
Konya,1842446,487675,1167229,81623,105919,0.6335214166385338,0.04430143407188053,0.2646888972594041,0.05748825203018162,1354771,0.060248558612488755
Kütahya,481887,115251,307161,20589,38886,0.6374129204564556,0.04272578426062541,0.23916602855026178,0.08069526673265724,366636,0.05615651490851962
Malatya,607832,181941,366944,22289,36658,0.6036931257321102,0.03666967188302031,0.2993277747798734,0.060309427604996114,425891,0.052334987121117844
Manisa,1203270,281477,772959,62380,86454,0.6423820090254058,0.051842063709724336,0.2339267163645732,0.0718492109002967,921793,0.0676724600859412
Kahramanmaraş,874026,243896,554983,32442,42705,0.6349731014866835,0.0371178889415189,0.27904890701191953,0.048860102559878084,630130,0.051484614285941
Mardin,624883,233258,358489,9946,23190,0.5736897947295734,0.01591657958369807,0.3732826785174185,0.03711094716931009,391625,0.02539674433450367
Muğla,923391,232463,560933,77133,52862,0.6074707247525696,0.08353232812535535,0.2517492589812983,0.05724768814077677,690928,0.1116368130977468
Muş,271785,99673,158274,2979,10859,0.5823500193167394,0.010960869805176887,0.3667347351767022,0.039954375701381606,172112,0.017308496792786093
Nevşehir,261119,67162,163042,13447,17468,0.6243973054431121,0.051497593051443975,0.2572083992355976,0.06689670226984631,193957,0.06932979990410246
Niğde,297754,81902,183652,13232,18968,0.6167910422697932,0.044439369412333674,0.27506599407564636,0.06370359424222681,215852,0.06130126197579823
Ordu,640627,146988,416274,26326,51039,0.6497915323581429,0.04109411560861469,0.22944396661395788,0.07967038541928455,493639,0.05333047024242412
Rize,289799,83014,173479,9973,23333,0.5986183527203337,0.034413507292985826,0.28645371447106444,0.080514425515616,206785,0.04822883671446188
Sakarya,907038,247241,559035,44540,56222,0.6163302970768589,0.04910488865957104,0.2725806416048721,0.06198417265869787,659797,0.06750561157446912
Samsun,1147830,297220,715799,55208,79603,0.6236106392061542,0.048097714818396455,0.2589407839139942,0.06935086206145509,850610,0.0649040100633663
Siirt,232244,90610,130378,2695,8561,0.5613837171250926,0.011604174919481236,0.3901500146397754,0.03686209331565078,141634,0.019027917025572955
Sinop,192730,44164,121368,9307,17891,0.6297307113578582,0.04829035438177762,0.2291495875058372,0.09282934675452706,148566,0.06264555820308819
Sivas,517705,146840,314346,19286,37233,0.6071913541495639,0.037252875672438936,0.28363643387643545,0.0719193363015617,370865,0.05200275032693837
Tekirdağ,972311,244375,618288,54671,54977,0.6358953051029969,0.056227894161436004,0.25133419245488325,0.05654260828068385,727936,0.07510413003340953
Tokat,509718,127328,321979,19421,40990,0.6316806547934348,0.038101460022993104,0.24980087028513806,0.08041701489843403,382390,0.05078846204137138
Trabzon,679328,193677,416388,22415,46848,0.6129410240708465,0.03299584295068067,0.2851008643836262,0.06896226859484667,485651,0.04615454307723035
Tunceli,73555,22501,41237,4729,5088,0.5606281014207056,0.06429202637482156,0.3059071443137788,0.06917272789069404,51054,0.09262741411054962
Şanlıurfa,1432216,509598,850265,25205,47148,0.5936709267317221,0.01759860244544119,0.35581085534584167,0.03291961547699509,922618,0.02731899876221795
Uşak,311925,72578,198206,19522,21619,0.6354283882343512,0.06258555742566323,0.23267772701771258,0.06930832732227299,239347,0.08156358759458025
Van,788696,291123,458603,10243,28727,0.5814699199691643,0.012987259983567813,0.3691194072240762,0.0364234128231917,497573,0.020585924075462295
Yozgat,341882,88690,214126,13387,25679,0.626315512369765,0.03915678508959231,0.25941699182758965,0.07511071071305304,253192,0.0528729185756264
Zonguldak,500007,126679,308158,27208,37962,0.6163073716967963,0.05441523818666539,0.25335445303765747,0.0759229370788809,373328,0.0728796125658938
Aksaray,344298,90607,217494,17068,19129,0.6317027691128034,0.04957333472747445,0.2631644679899389,0.055559428169783154,253691,0.06727869731287274
Bayburt,68173,23344,39069,1565,4195,0.5730861191380752,0.022956302348437065,0.34242295336863565,0.06153462514485207,44829,0.034910437440049964
Karaman,211322,57008,129829,11413,13072,0.6143657546303745,0.054007628169334,0.2697684102932965,0.06185820690699501,154314,0.07395958889018495
Kırıkkale,236696,64061,142148,13416,17071,0.6005509176327442,0.056680298779869534,0.27064673674248824,0.07212204684489809,172635,0.07771309410026936
Batman,464515,181808,260528,6825,15354,0.5608602520908905,0.014692744044863999,0.3913931735250745,0.03305383033917096,282707,0.0241416024364448
Şırnak,384940,167915,202450,3906,10669,0.5259261183561075,0.010147035901698966,0.4362108380526835,0.027716007689510054,217025,0.017997926506162883
Bartın,177146,43816,111068,8394,13868,0.6269856502545923,0.047384643175685595,0.2473439987355063,0.07828570783421585,133330,0.06295657391434786
Ardahan,74158,21585,44882,2025,5666,0.6052212842849052,0.027306561665632837,0.29106772027293076,0.0764044337765312,52573,0.03851787038974378
